,price(USD)
207,5378.578239802615
208,5378.578239802615
209,2111.2681396934877
210,8765.787333082531
211,1965.363478801778
212,1673.5541570183605
213,1965.363478801778
214,1673.5541570183605
215,2111.2681396934877
216,1819.4588179100692
217,1819.4588179100692
218,1673.5541570183605
219,1819.4588179100692
220,2986.6961050437403
221,3059.6484354895947
222,2184.220470139342
223,2403.0774614769052
224,2403.0774614769052
225,2111.2681396934877
226,2257.1728005851965
227,2403.0774614769052
228,2403.0774614769052
229,1819.4588179100692
230,2403.0774614769052
231,2403.0774614769052
232,2403.0774614769052
233,2403.0774614769052
234,5086.768918019197
235,4342.89372343777
236,4051.0844016543515
237,4196.98906254606
238,4051.0844016543515
239,4196.98906254606
240,4196.98906254606
241,4342.89372343777
242,4051.0844016543515
243,4183.128119761348
244,4196.98906254606
245,4051.0844016543515
246,4196.98906254606
247,4196.98906254606
248,4342.89372343777
249,4196.98906254606
250,4196.98906254606
251,4196.98906254606
252,4269.941392991915
253,4342.89372343777
254,4196.98906254606
255,4196.98906254606
256,4051.0844016543515
257,4196.98906254606
258,4342.89372343777
259,4196.98906254606
260,4196.98906254606
261,10924.46058638096
262,4561.750714775333
263,4195.530015937144
264,4196.98906254606
265,4051.0844016543515
266,10997.412916826814
267,4196.98906254606
268,4196.98906254606
269,4196.98906254606
270,4196.98906254606
271,4196.98906254606
272,4196.98906254606
273,4196.98906254606
274,4926.512367004605
275,4196.98906254606
276,4051.0844016543515
277,4051.0844016543515
278,4342.89372343777
279,4196.98906254606
280,4051.0844016543515
281,4051.0844016543515
282,4342.89372343777
283,4196.98906254606
284,4196.98906254606
285,4196.98906254606
286,4269.941392991915
287,4196.98906254606
288,4196.98906254606
289,4196.98906254606
290,4196.98906254606
291,4196.98906254606
292,11435.12689950194
293,4051.0844016543515
294,4196.98906254606
295,4051.0844016543515
296,4196.98906254606
297,4196.259539241602
298,4196.98906254606
299,4269.941392991915
300,4196.98906254606
301,4196.98906254606
302,4342.89372343777
303,4051.0844016543515
304,4342.89372343777
305,4269.941392991915
306,4196.98906254606
307,4196.98906254606
308,4342.89372343777
309,4269.941392991915
310,4196.98906254606
311,4196.98906254606
312,4183.128119761348
313,4196.98906254606
314,4342.89372343777
315,4269.941392991915
316,4051.0844016543515
317,4196.98906254606
318,4196.98906254606
319,4269.941392991915
320,4196.98906254606
321,4196.98906254606
322,4196.98906254606
323,4051.0844016543515
324,4561.750714775333
325,4196.98906254606
326,4051.0844016543515
327,4196.98906254606
328,4196.98906254606
329,17474.31320369157
330,4196.98906254606
331,4051.0844016543515
332,4196.98906254606
333,4051.0844016543515
334,4196.98906254606
335,5086.768918019197
336,5305.6259093567605
337,5232.673578910906
338,4940.864257127488
339,11960.145102745804
340,5524.482900694324
341,5232.673578910906
342,5305.6259093567605
343,5159.721248465052
344,5670.3875615860325
